Silhouette index for each cluster:
43 : 9, 0.701814559702537 0.7153425256701834 0.7167694095942149 0.7202741563592212 0.7262950606396519 0.7297698296050912 0.7304570798436767 0.7323998927775852 0.7387763239241232 
44 : 5, 0.6574206575859893 0.69393317552684 0.704923741210968 0.7174599816438183 0.7477549052765341 
45 : 7, -0.05013642476827843 0.7170800903226068 0.7185018455078167 0.7304577347201251 0.7435155395851902 0.7597596025197664 0.774240013331472 
46 : 7, 0.6707074967118748 0.6805728259682577 0.7032167726037606 0.7089387615714805 0.7400726977752583 0.7402386558598594 0.7528798869889989 
47 : 4, 0.6678080188464027 0.6868338456483333 0.7205883048624071 0.7402779224582471 
48 : 2, 0.7204952851315513 0.73310949266753 
49 : 5, 0.7097901625554702 0.7197931781732699 0.742664411681117 0.7589167437408137 0.7919894545446617 
50 : 11, -0.3198884180471492 0.21817735493314297 0.42247321046537184 0.46015029175178856 0.4949025948855408 0.5359986254730411 0.5936039893747677 0.5991871206377037 0.6065236759410247 0.6143336685480112 0.6545728123480153 
51 : 3, 0.5179583844415884 0.5667469038659282 0.5673375692008538 
52 : 5, 0.6778239599850311 0.7103675293870054 0.7106765190661983 0.7174812285936313 0.7399414795961968 
53 : 2, 0.7442574750430124 0.7518981204905213 
54 : 5, 0.6934753459958171 0.7101430868959292 0.7424061374563654 0.7524642888319608 0.7617046942354453 
55 : 2, 0.11005167217283138 0.6963775580447389 
56 : 3, 0.07657146656466902 0.6645083795467867 0.722104478484565 
57 : 1, 0.0 
58 : 3, 0.7139369267114705 0.7222706997096501 0.7444796856752603 
59 : 1, 0.0 
60 : 5, 0.6504848008237132 0.7093475291077158 0.7230049707225369 0.7248389517499108 0.7342777816491907 
61 : 6, -0.04222539688743666 0.7009876283683834 0.704535750345664 0.7224899493090431 0.7287009771952322 0.7326881417508825 
62 : 2, 0.8148178972049582 0.8163237612099643 
63 : 1, 0.0 
64 : 1, 0.0 
65 : 2, -0.04283941485864577 0.6742153739008921 
66 : 9, 0.051109014265696404 0.6496296205103608 0.6538699975453596 0.6604480517665555 0.6785536476533869 0.6801505379392925 0.7162440598903927 0.7272897872597865 0.750463179418784 
67 : 2, -0.05964497041420136 -0.02521684382735621 
68 : 4, 0.6661450348545875 0.7065442017824105 0.737150185484419 0.7466192754064397 
69 : 6, 0.5728096905068202 0.6660016275790164 0.6882009759368629 0.7021089284671672 0.707360456725744 0.7128920732121863 
70 : 1, 0.0 
71 : 2, 0.716812398359549 0.7576689911628018 
72 : 1, 0.0 
73 : 1, 0.0 
74 : 1, 0.0 
75 : 3, 0.6552752225946665 0.7235371648453207 0.7260130853015275 
76 : 2, 0.7102154165020917 0.7639642381751667 
77 : 6, 0.6291262901688812 0.6509208231801257 0.700977688535047 0.7073547012920874 0.7105954472328537 0.7204089366874079 
78 : 2, 0.69998903829108 0.7748527108193208 
79 : 4, 0.09742068117864693 0.584603078604055 0.6078063848027816 0.7399978178338028 
80 : 7, 0.6564566749390097 0.7128332136953659 0.7256836423428845 0.7324078748417249 0.7381089779680771 0.7626569675942704 0.7629595751994855 
81 : 5, 0.6689626404250499 0.7024488834827994 0.7082926832827908 0.7421631404333021 0.7467812478981107 
82 : 2, 0.684348847339428 0.7586072539830634 
83 : 1, 0.0 
84 : 1, 0.0 
85 : 3, 0.6718445577149567 0.6938954345993046 0.6977115247712186 
86 : 3, 0.12245650993539842 0.5637056971285962 0.682082029371409 
87 : 5, 0.71844778531285 0.7187813129807182 0.7265541902027518 0.7307897160848876 0.7460236910255623 
88 : 5, 0.5987442361925965 0.6073315471691767 0.6191409705468968 0.6210297660030258 0.632479367229834 
89 : 1, 0.0 
90 : 3, 0.689032798743011 0.6902622359506929 0.6911642020834327 
